forecast_date,ticker,forecast_pct_change,forecast_trend
2025-01-08,UNH,0.0,0
2025-01-09,UNH,0.0,0
2025-01-10,UNH,0.0,0
2025-01-13,UNH,0.0,0
2025-01-14,UNH,0.0,0
2025-01-15,UNH,0.0,0
2025-01-16,UNH,0.0,0
2025-01-17,UNH,0.0,0
2025-01-20,UNH,0.0,0
2025-01-21,UNH,0.0,0
2025-01-22,UNH,0.0,0
2025-01-23,UNH,0.0,0
2025-01-24,UNH,0.0,0
2025-01-27,UNH,0.0,0
2025-01-28,UNH,0.0,0
2025-01-29,UNH,0.0,0
2025-01-30,UNH,0.0,0
2025-01-31,UNH,0.0,0
2025-02-03,UNH,0.0,0
2025-02-04,UNH,0.0,0
2025-02-05,UNH,0.0,0
2025-02-06,UNH,0.0,0
2025-02-07,UNH,0.0,0
2025-02-10,UNH,0.0,0
2025-02-11,UNH,0.0,0
2025-02-12,UNH,0.0,0
2025-02-13,UNH,0.0,0
2025-02-14,UNH,0.0,0
2025-02-17,UNH,0.0,0
2025-02-18,UNH,0.0,0
2025-02-19,UNH,0.0,0
2025-02-20,UNH,0.0,0
2025-02-21,UNH,0.0,0
2025-02-24,UNH,0.0,0
2025-02-25,UNH,0.0,0
2025-02-26,UNH,0.0,0
2025-02-27,UNH,0.0,0
2025-02-28,UNH,0.0,0
2025-03-03,UNH,0.0,0
2025-03-04,UNH,0.0,0
2025-03-05,UNH,0.0,0
2025-03-06,UNH,0.0,0
2025-03-07,UNH,0.0,0
2025-03-10,UNH,0.0,0
2025-03-11,UNH,0.0,0
2025-03-12,UNH,0.0,0
2025-03-13,UNH,0.0,0
2025-03-14,UNH,0.0,0
2025-03-17,UNH,0.0,0
2025-03-18,UNH,0.0,0
2025-03-19,UNH,0.0,0
2025-03-20,UNH,0.0,0
2025-03-21,UNH,0.0,0
2025-03-24,UNH,0.0,0
2025-03-25,UNH,0.0,0
2025-03-26,UNH,0.0,0
2025-03-27,UNH,0.0,0
2025-03-28,UNH,0.0,0
2025-03-31,UNH,0.0,0
2025-04-01,UNH,0.0,0
2025-04-02,UNH,0.0,0
2025-04-03,UNH,0.0,0
2025-04-04,UNH,0.0,0
2025-04-07,UNH,0.0,0
2025-04-08,UNH,0.0,0
2025-04-09,UNH,0.0,0
2025-04-10,UNH,0.0,0
2025-04-11,UNH,0.0,0
2025-04-14,UNH,0.0,0
